,0
1967-02-01,
1967-03-01,
1967-04-01,
1967-05-01,
1967-06-01,1.05
1967-07-01,0.65
1967-08-01,0.0
1967-09-01,0.43
1967-10-01,0.05
1967-11-01,0.0
1967-12-01,0.0
1968-01-01,1.82
1968-02-01,0.08
1968-03-01,0.05
1968-04-01,0.08
1968-05-01,0.0
1968-06-01,0.02
1968-07-01,0.02
1968-08-01,0.05
1968-09-01,0.0
1968-10-01,0.0
1968-11-01,0.0
1968-12-01,0.05
1969-01-01,0.05
1969-02-01,0.0
1969-03-01,0.08
1969-04-01,0.2
1969-05-01,0.08
1969-06-01,0.02
1969-07-01,0.05
1969-08-01,0.18
1969-09-01,2.97
1969-10-01,5.9
1969-11-01,46.58
1969-12-01,51.15
1970-01-01,64.32
1970-02-01,51.5
1970-03-01,52.98
1970-04-01,56.5
1970-05-01,55.05
1970-06-01,52.78
1970-07-01,53.58
1970-08-01,71.92
1970-09-01,86.5
1970-10-01,91.48
1970-11-01,44.65
1970-12-01,0.0
1971-01-01,0.08
1971-02-01,1.2
1971-03-01,0.38
1971-04-01,0.0
1971-05-01,0.0
1971-06-01,0.05
1971-07-01,0.43
1971-08-01,0.22
1971-09-01,0.0
1971-10-01,0.02
1971-11-01,0.0
1971-12-01,0.0
1972-01-01,0.0
1972-02-01,0.0
1972-03-01,0.02
1972-04-01,0.0
1972-05-01,0.02
1972-06-01,0.0
1972-07-01,0.32
1972-08-01,0.0
1972-09-01,0.0
1972-10-01,0.0
1972-11-01,0.0
1972-12-01,0.0
1973-01-01,0.0
1973-02-01,0.0
1973-03-01,0.32
1973-04-01,0.4
1973-05-01,0.05
1973-06-01,0.05
1973-07-01,0.02
1973-08-01,0.12
1973-09-01,0.02
1973-10-01,0.0
1973-11-01,0.32
1973-12-01,20.5
1974-01-01,23.88
1974-02-01,19.5
1974-03-01,16.83
1974-04-01,16.6
1974-05-01,15.9
1974-06-01,32.32
1974-07-01,49.0
1974-08-01,81.5
1974-09-01,87.35
1974-10-01,96.5
1974-11-01,100.0
1974-12-01,100.0
1975-01-01,99.98
1975-02-01,99.95
1975-03-01,96.0
1975-04-01,20.6
1975-05-01,3.22
1975-06-01,0.6
1975-07-01,0.0
1975-08-01,0.0
1975-09-01,0.0
1975-10-01,0.0
1975-11-01,0.05
1975-12-01,0.0
1976-01-01,0.0
1976-02-01,0.02
1976-03-01,0.08
1976-04-01,0.08
1976-05-01,0.05
1976-06-01,0.02
1976-07-01,0.0
1976-08-01,0.0
1976-09-01,0.05
1976-10-01,0.12
1976-11-01,0.0
1976-12-01,0.0
1977-01-01,0.45
1977-02-01,0.0
1977-03-01,0.0
1977-04-01,0.0
1977-05-01,0.0
1977-06-01,0.0
1977-07-01,0.05
1977-08-01,0.05
1977-09-01,0.0
1977-10-01,0.0
1977-11-01,0.0
1977-12-01,0.75
1978-01-01,10.45
1978-02-01,0.15
1978-03-01,0.0
1978-04-01,0.0
